Species,num_mutations,num_studies,study_score
Escherichia coli,102,9,6.937314081223682
Staphylococcus aureus,63,4,5.768320995793772
Bacillus subtilis,25,6,5.204006687076795
Salmonella enterica,77,1,5.049856007249537
Enterococcus faecium,24,5,5.0106352940962555
Deinococcus radiodurans,39,2,4.787491742782046
Pseudomonas aeruginosa,36,2,4.709530201312334
Mycobacterium tuberculosis,18,4,4.553876891600541
Pseudomonas putida,24,2,4.31748811353631
Bacillus anthracis,23,2,4.276666119016055
Chlamydia trachomatis,17,3,4.276666119016055
Vibrio parahaemolyticus,28,1,4.060443010546419
Pseudomonas fluorescens,24,1,3.912023005428146
Pseudomonas fulva,22,1,3.828641396489095
Pseudomonas mendocina,20,1,3.7376696182833684
Stutzerimonas stutzeri,20,1,3.7376696182833684
Enterococcus faecalis,13,2,3.737669618283368
Staphylococcus epidermidis,13,2,3.737669618283368
Acinetobacter baylyi,16,1,3.5263605246161616
Riemerella anatipestifer,16,1,3.5263605246161616
Streptomyces lividans,16,1,3.5263605246161616
Pseudomonas protegens,14,1,3.4011973816621555
Chlamydophila pneumoniae,7,2,3.1780538303479453
Helicobacter pylori,10,1,3.091042453358316
Brucella melitensis,9,1,2.9957322735539913
Streptomyces coelicolor,9,1,2.9957322735539913
Listeria monocytogenes,7,1,2.772588722239781
Bacillus cereus,6,1,2.6390573296152584
Bacillus velezensis,6,1,2.6390573296152584
Burkholderia vietnamiensis,6,1,2.6390573296152584
Lactiplantibacillus plantarum,6,1,2.6390573296152584
Cutibacterium acnes,5,1,2.4849066497880004
Mycolicibacterium smegmatis,5,1,2.4849066497880004
Streptococcus pneumoniae,5,1,2.4849066497880004
Pseudomonas stutzeri,4,1,2.3025850929940455
Shewanella decolorationis,4,1,2.3025850929940455
Mycobacterium avium,2,2,2.1972245773362196
Brucella suis,3,1,2.0794415416798357
Legionella pneumophila,3,1,2.0794415416798357
Neisseria meningitidis,3,1,2.0794415416798357
Rhodothermus marinus,3,1,2.0794415416798357
Salmonella typhimurium,3,1,2.0794415416798357
Vibrio vulnificus,3,1,2.0794415416798357
Brucella abortus,2,1,1.791759469228055
Legionella longbeachae,2,1,1.791759469228055
Legionella bozemanii,1,1,1.3862943611198906
Legionella micdadei,1,1,1.3862943611198906
Paenibacillus agaridevorans,1,1,1.3862943611198906
